epoch,train_loss,val_f1,val_acc
1,2.4125382900238037,0.7970378169417742,0.812
2,0.42144209146499634,0.8249159102455991,0.84
3,0.2627561688423157,0.8378964443847402,0.85
4,0.2256019562482834,0.8533126698606642,0.86
5,0.1824731081724167,0.8324412451643394,0.836
6,0.15987536311149597,0.8268526916531594,0.832
7,0.14411374926567078,0.8258169102338819,0.838
8,0.12961864471435547,0.8328734471480945,0.844
9,0.11558499932289124,0.8305794631856912,0.84
10,0.11312282830476761,0.8258289500073979,0.836
1,2.294826030731201,0.7509673388117725,0.794
2,0.4108702540397644,0.829021747619859,0.85
3,0.2557194232940674,0.8577543342184731,0.876
4,0.20859754085540771,0.850348744840222,0.864
5,0.17773401737213135,0.845417781795221,0.856
6,0.14467570185661316,0.842481583474712,0.858
7,0.14176827669143677,0.8388317685650223,0.858
8,0.12661519646644592,0.8443971551447208,0.862
9,0.11577419191598892,0.8557613395279055,0.868
10,0.10422370582818985,0.8490650759280473,0.86
