epoch,train_loss,val_f1,val_acc
1,1.298129677772522,0.20286790583820288,0.418
2,0.6657472848892212,0.5022138015241463,0.674
3,0.6198136806488037,0.20724096561158015,0.4
4,0.5464003682136536,0.18635926993275698,0.388
5,0.47052353620529175,0.18635926993275698,0.388
6,0.4553047716617584,0.18635926993275698,0.388
7,0.453118234872818,0.19664702802678535,0.394
8,0.4222725033760071,0.284048450181199,0.452
9,0.40465816855430603,0.33185432569974554,0.49
10,0.3970731496810913,0.3270948158798626,0.486
11,0.3939717710018158,0.30995288180255015,0.472
12,0.3876567482948303,0.2893713954379316,0.456
13,0.3808790445327759,0.29462146264074746,0.46
14,0.377806693315506,0.3365552072448624,0.494
15,0.3765403628349304,0.41039497969730526,0.564
16,0.36972007155418396,0.4652244806162323,0.626
17,0.3599207401275635,0.4964299769494575,0.666
18,0.3529682457447052,0.512596464144515,0.688
19,0.35337138175964355,0.5257998375049842,0.706
20,0.35340026021003723,0.5228347456282332,0.702
21,0.3501325249671936,0.5191482062587972,0.696
22,0.34417474269866943,0.5062823092006417,0.678
23,0.3402866721153259,0.4994228904723064,0.668
24,0.3351040184497833,0.5012583626722861,0.67
25,0.33375412225723267,0.5027918398704916,0.672
26,0.3335162103176117,0.5022071887385541,0.672
27,0.33069756627082825,0.5155673996489072,0.682
28,0.3258552849292755,0.5266081556712532,0.698
29,0.3228505253791809,0.5505634831114214,0.718
30,0.32174333930015564,0.5725254007903399,0.734
31,0.3186836838722229,0.5783274470021458,0.736
32,0.3153996765613556,0.590566037735849,0.74
33,0.31369614601135254,0.6123108508694028,0.75
34,0.3107040822505951,0.6287721595577032,0.754
35,0.3070826828479767,0.6604403783158957,0.764
36,0.3069537878036499,0.6714299345383345,0.764
37,0.30407074093818665,0.6814103362222498,0.768
38,0.3013916611671448,0.6814103362222498,0.768
39,0.2995408773422241,0.6986894021803285,0.778
40,0.29540589451789856,0.7110174613366661,0.786
41,0.29553166031837463,0.7275408207611598,0.796
42,0.29106882214546204,0.7505618398901791,0.808
43,0.288620263338089,0.7629227960610269,0.812
44,0.2873174846172333,0.7667837889175294,0.814
45,0.2821076512336731,0.7721007234162144,0.816
46,0.28126850724220276,0.7870682434097068,0.824
47,0.2795235216617584,0.802980900653758,0.834
48,0.2768884003162384,0.8166144190881837,0.844
49,0.27425631880760193,0.8283152701115846,0.852
50,0.27192625403404236,0.8348364255045061,0.858
51,0.26731154322624207,0.8332860307712479,0.856
52,0.2671831548213959,0.8324689935586753,0.856
53,0.26386603713035583,0.8545123935304814,0.87
54,0.2627285420894623,0.8605771918914394,0.874
55,0.25896137952804565,0.8695058865662029,0.88
56,0.25666680932044983,0.8826765914719367,0.89
57,0.2529190182685852,0.8855547960811118,0.892
58,0.2519478499889374,0.8830745517544482,0.89
59,0.24750670790672302,0.87901176362361,0.886
60,0.2450212836265564,0.8786253320443572,0.886
61,0.24225962162017822,0.883037347287367,0.89
62,0.24106794595718384,0.8846819537122648,0.892
63,0.2390662133693695,0.8874620553817634,0.894
64,0.23544515669345856,0.8858156582990838,0.892
65,0.23202024400234222,0.887791426511439,0.894
66,0.22949202358722687,0.887791426511439,0.894
67,0.22684866189956665,0.8924642041062084,0.898
68,0.2236318290233612,0.8917332279874408,0.898
69,0.2192380130290985,0.8870066879757026,0.894
70,0.21989180147647858,0.8906809172393779,0.898
71,0.21726404130458832,0.8850051742973702,0.892
72,0.21565215289592743,0.8860311801488271,0.892
73,0.2116442769765854,0.8766160469977264,0.884
74,0.20924487709999084,0.8823049027404135,0.89
75,0.20498871803283691,0.887325058341562,0.894
76,0.20343482494354248,0.8947145415736247,0.9
77,0.2021513283252716,0.8906832946512885,0.896
78,0.1999748796224594,0.8926541742097168,0.898
79,0.19692838191986084,0.898340125169796,0.902
80,0.19346870481967926,0.8929430417090577,0.898
81,0.1917344033718109,0.8934905416140216,0.898
82,0.1901850551366806,0.8949064034966905,0.9
83,0.18600939214229584,0.902893684140914,0.908
84,0.18668551743030548,0.8956697441774989,0.902
85,0.18470582365989685,0.8983031217378715,0.904
86,0.18377158045768738,0.8986632253837636,0.904
87,0.17920957505702972,0.8983161038939368,0.902
88,0.17639708518981934,0.8966230253395194,0.9
89,0.17433348298072815,0.8920239392360289,0.896
90,0.17219597101211548,0.893959797240587,0.898
91,0.1694190353155136,0.8856999157574905,0.89
92,0.168911412358284,0.8852360463792991,0.89
93,0.16654539108276367,0.8817313565122212,0.884
94,0.16426798701286316,0.8882612967228024,0.89
95,0.16148650646209717,0.8816933806342554,0.884
96,0.15680880844593048,0.8800104974968362,0.882
97,0.15547135472297668,0.8757382429976445,0.878
98,0.15621931850910187,0.8691397542300688,0.87
99,0.15600791573524475,0.8717804393841493,0.872
100,0.15128427743911743,0.8626968158938911,0.864
