epoch,train_loss,val_f1,val_acc
1,1.8457196950912476,0.2427153752000753,0.3875
2,1.7948781251907349,0.2172147610405324,0.2875
3,1.6939399242401123,0.16194653299916456,0.2625
4,0.9470253586769104,0.22406028857641763,0.275
5,0.9400407671928406,0.2097301611432046,0.2625
6,0.8587626814842224,0.2200956937799043,0.2625
7,1.092774748802185,0.2003331884687817,0.2625
8,0.9019110202789307,0.15421683389074692,0.225
9,0.8835634589195251,0.2119851994851995,0.275
10,0.7305400967597961,0.27202143289257624,0.425
11,0.7418689131736755,0.22965214017845598,0.4125
12,0.7703585028648376,0.1919887955182073,0.3875
13,0.7780463099479675,0.2115218037725116,0.25
14,0.7253298163414001,0.2263265306122449,0.2625
15,0.7269908785820007,0.182,0.2375
16,0.622503936290741,0.18245828245828247,0.225
17,0.7578749060630798,0.245329436122275,0.375
18,0.6189917325973511,0.2739114369151916,0.4
19,0.5945903062820435,0.2887566137566137,0.4375
20,0.674132227897644,0.37686411149825777,0.4625
21,0.5092781186103821,0.3412851756661574,0.4375
22,0.5278510451316833,0.3442508422329718,0.4375
23,0.5840227603912354,0.3442508422329718,0.4375
24,0.5461441278457642,0.37007770007770013,0.4375
25,0.6650719046592712,0.3750200730022025,0.45
26,0.5068302750587463,0.3945238095238095,0.4625
27,0.494505375623703,0.35740879716489476,0.45
28,0.5078140497207642,0.3622766485511583,0.45
29,0.49496790766716003,0.28411062621588934,0.4125
30,0.48170197010040283,0.28357864357864354,0.4
31,0.44790467619895935,0.27598721227621487,0.375
32,0.5057955980300903,0.2367913468700411,0.35
33,0.5185433030128479,0.3016971916971917,0.3875
34,0.5302321910858154,0.2989386728921613,0.3875
35,0.5078054070472717,0.30924506387921025,0.4125
36,0.4318845868110657,0.3097212543554007,0.4125
37,0.43198949098587036,0.37884823848238486,0.45
38,0.43682563304901123,0.4594715692184046,0.4875
39,0.4208031892776489,0.45033238366571704,0.475
40,0.41168975830078125,0.4603612551962624,0.4875
41,0.39568892121315,0.46499999999999997,0.4875
42,0.3835512697696686,0.44993352326685654,0.5125
43,0.3933766484260559,0.44993352326685654,0.5125
44,0.37998735904693604,0.4250617283950617,0.5
45,0.3705970048904419,0.39570275403608735,0.4875
46,0.36644095182418823,0.39570275403608735,0.4875
47,0.38467109203338623,0.39060037523452157,0.475
48,0.3596092164516449,0.3807713154054618,0.45
49,0.37553003430366516,0.41116941403885454,0.4625
50,0.41232767701148987,0.42059900883430296,0.475
51,0.3834160566329956,0.4256660006660007,0.4875
52,0.3757641911506653,0.41889912413168223,0.475
53,0.34313544631004333,0.4250617283950617,0.5
54,0.3500077426433563,0.4250617283950617,0.5
55,0.33682459592819214,0.39172839506172835,0.4875
56,0.35226598381996155,0.4057760532150776,0.5
57,0.31127598881721497,0.4008877434607962,0.4875
58,0.3671371638774872,0.38515757328486827,0.45
59,0.34945592284202576,0.33875714928346506,0.425
60,0.3388814926147461,0.34256854256854263,0.425
61,0.33646902441978455,0.34256854256854263,0.425
62,0.3103625476360321,0.3152796711024559,0.4375
63,0.2769381105899811,0.34179487179487184,0.4625
64,0.29513847827911377,0.29238310708898946,0.45
65,0.34048882126808167,0.29238310708898946,0.45
66,0.3616172671318054,0.3021705137751304,0.4625
67,0.2969718277454376,0.3688948921134781,0.5
68,0.3529861867427826,0.3591105406221685,0.475
69,0.26649579405784607,0.3126153906975825,0.425
70,0.2750021815299988,0.3037129054520359,0.4
71,0.2736338973045349,0.30745920745920746,0.4125
72,0.2842288911342621,0.3705475810738969,0.4625
73,0.3586093783378601,0.4440265220012055,0.525
74,0.32118573784828186,0.40009669343002674,0.5
75,0.29339274764060974,0.40009669343002674,0.5
76,0.3126315176486969,0.4095065097504122,0.5125
77,0.2832602858543396,0.40399819589693003,0.5
78,0.3147135376930237,0.3489819245082403,0.4625
79,0.26337510347366333,0.32296103896103895,0.4375
80,0.2466132640838623,0.3389011104127383,0.4375
81,0.2790692150592804,0.3477209302325582,0.45
82,0.27908581495285034,0.32327108767745244,0.4375
83,0.27345192432403564,0.3236453566833004,0.4375
84,0.30694425106048584,0.33002608706403075,0.45
85,0.31593936681747437,0.33452380952380956,0.4625
86,0.2473495602607727,0.36183150183150187,0.475
87,0.3756263852119446,0.30558000352050696,0.4625
