epoch,train_loss,val_f1,val_acc
1,1.1186829805374146,0.21047189321300996,0.422
2,0.9955004453659058,0.2971617349685248,0.472
3,0.9037476181983948,0.41306075362434475,0.568
4,0.8110231161117554,0.48832152809499957,0.64
5,0.7235480546951294,0.5148352623280762,0.674
6,0.6496103405952454,0.5715816192351505,0.702
7,0.5844436883926392,0.591707347026496,0.716
8,0.5323866605758667,0.6262040169894176,0.728
9,0.49002593755722046,0.6555713354132325,0.742
10,0.4610508680343628,0.6523734917513418,0.734
11,0.4359036982059479,0.7015978245609572,0.758
12,0.4210970997810364,0.7212034465166374,0.77
13,0.40626469254493713,0.7512918332660822,0.79
14,0.39653006196022034,0.7705834262356003,0.802
15,0.3901796340942383,0.7926331231190358,0.818
16,0.37818673253059387,0.8023250173250173,0.828
17,0.3704926669597626,0.80903288551532,0.838
18,0.36830222606658936,0.8070456001822865,0.838
19,0.3599546551704407,0.8027240112334688,0.836
20,0.35574042797088623,0.8028663981719322,0.836
21,0.35036996006965637,0.8062351384008144,0.84
22,0.33984437584877014,0.8134028456609101,0.844
23,0.338927686214447,0.8122840508771908,0.84
24,0.32938647270202637,0.8207496745181868,0.846
25,0.32523420453071594,0.8255543581636409,0.85
26,0.3199293613433838,0.825827013286843,0.85
27,0.3174346387386322,0.8353701230105725,0.856
28,0.306858092546463,0.849454463825898,0.866
29,0.30719655752182007,0.8648546868086148,0.878
30,0.30363041162490845,0.8737520581263752,0.884
